[2025-08-24T15:37:35.1475538+09:00] Ellen
Gravity: <0, -9.81, 0>
EffectiveGravity: <0, -9.81, 0>
SolverIterationCount: 8
SubstepCount: 1
Damping: 0.98
BoneBlendFactor: 0.5
GroundHeight: 0
Restitution: 0.2
Friction: 0.5
LockTranslation: True
RigidBody: 頭 BoneIndex:10 Mass:14.625 Shape:Capsule LinearDamping:0.5 AngularDamping:0.5 Restitution:0 Friction:0.5 Position:<0, 18.080936, -0.17313504> Rotation:<-0, 0, -0> Size:<0.8, 0.8, 0> Group:0 Mask:65535 Mode:FollowBone
RigidBody: 右胸下 BoneIndex:138 Mass:0.1 Shape:Capsule LinearDamping:0.9999 AngularDamping:0.99999 Restitution:0 Friction:0 Position:<-0.60038257, 14.369729, 0.7427259> Rotation:<-0, -1.4835294, 1.692971> Size:<0.15341592, 0.88581026, 0> Group:4 Mask:57088 Mode:Physics
RigidBody: Ctr_F_Hair_01 BoneIndex:68 Mass:1.5 Shape:Box LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<0.20362227, 18.80262, 0.94491035> Rotation:<0.28258798, -0.028932687, -0.020940887> Size:<0.3, 0.4, 0.1> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_F_Hair_02 BoneIndex:69 Mass:1 Shape:Box LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<0.21731736, 18.257198, 1.0230625> Rotation:<-0.0024344681, -0.034821626, -0.020109888> Size:<0.3, 0.4, 0.1> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_R_HairA_01 BoneIndex:70 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-0.6592416, 18.716095, 0.7523422> Rotation:<0.010161307, -0.0034382986, 0.32626316> Size:<0.09719848, 0.4859924, 0> Group:3 Mask:65527 Mode:FollowBone
RigidBody: Ctr_R_HairA_02 BoneIndex:71 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-0.73711455, 18.255772, 0.7549489> Rotation:<-0, 0, -0> Size:<0.09206581, 0.46032906, 0> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_L_HairA_01 BoneIndex:81 Mass:2.25 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<0.9987643, 18.304586, 0.14215642> Rotation:<0.011492538, 0.0008734832, -0.075860225> Size:<0.2, 0.57335347, 0> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_L_HairA_02 BoneIndex:82 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<0.96950054, 17.711033, 0.13498686> Rotation:<-0.03311412, 0.0054888423, 0.16429299> Size:<0.2, 0.62418306, 0> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_L_HairA_03 BoneIndex:83 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<0.8185132, 17.153315, 0.1140396> Rotation:<-0.0360969, 0.01444609, 0.38076806> Size:<0.15, 0.5389237, 0> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_R_HairB_01 BoneIndex:87 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-0.9801055, 18.516544, 0.3958353> Rotation:<-0.023568926, 0.0042411503, 0.17802882> Size:<0.1272513, 0.6362562, 0> Group:3 Mask:65527 Mode:FollowBone
RigidBody: Ctr_R_HairB_02 BoneIndex:88 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-0.9801058, 17.890524, 0.3806001> Rotation:<-0.023569018, -0.00424044, -0.17802864> Size:<0.12725087, 0.6362543, 0> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: B BoneIndex:145 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<0.20640425, 18.257198, 1.0247707> Rotation:<0.0031324958, 0, 0.020012934> Size:<0.15811388, 0.38722503, 0.1> Group:3 Mask:0 Mode:Physics
RigidBody: B BoneIndex:144 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-0.73711455, 18.255772, 0.7549489> Rotation:<0, 0, -0> Size:<0.09206581, 0.36826134, 0> Group:3 Mask:0 Mode:Physics
RigidBody: B BoneIndex:146 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<0.16517541, 17.52952, 0.5762141> Rotation:<-0.28177142, 0, 0.02899932> Size:<0.15811388, 2.4938276, 0.1> Group:3 Mask:0 Mode:Physics
RigidBody: B BoneIndex:143 Mass:2.25 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<0.8587674, 16.46253, 0.12086337> Rotation:<-0.011525642, 0, 0.07584946> Size:<0.2, 3.494981, 0> Group:3 Mask:0 Mode:Physics
RigidBody: B BoneIndex:142 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<1.2074416, 16.27501, 0.18386386> Rotation:<0.033565912, 0, -0.16410916> Size:<0.2, 2.7128453, 0> Group:3 Mask:0 Mode:Physics
RigidBody: B BoneIndex:141 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<1.0185132, 17.153315, 0.1349868> Rotation:<0.038878378, 0, -0.38020423> Size:<0.15, 0.38892367, 0> Group:3 Mask:0 Mode:Physics
RigidBody: B BoneIndex:140 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-1.0927162, 17.890524, 0.39583528> Rotation:<0.02394748, 0, 0.17792736> Size:<0.12725087, 0.5090016, 0> Group:3 Mask:0 Mode:Physics
RigidBody: Ctr_R_HairD_02 BoneIndex:66 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-1.054951, 18.150244, -1.028645> Rotation:<-0.05440017, -0.0074316124, -0.13584247> Size:<0.25, 0.8686736, 0> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_R_HairD_03 BoneIndex:67 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-0.9376628, 17.290855, -1.076315> Rotation:<-0.05440017, -0.0074316124, -0.13584247> Size:<0.25, 0.8686736, 0> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_R_HairC_01 BoneIndex:72 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-1.2147477, 17.749138, -0.5497502> Rotation:<-0.4142685, 0.3549759, 0.7442384> Size:<0.2, 0.4700901, 0> Group:4 Mask:65519 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_R_HairC_02 BoneIndex:73 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-1.5320787, 17.440865, -0.79094493> Rotation:<-0.2762427, 0.37179995, 0.9604353> Size:<0.2, 0.5440371, 0> Group:4 Mask:65519 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_B_HairA_02 BoneIndex:75 Mass:3.75 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-1.1249999E-06, 18.240211, -1.3771784> Rotation:<0.04412306, -3.6265032E-08, 8.221734E-07> Size:<0.25, 0.91399455, 0> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_B_HairA_03 BoneIndex:76 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-1.875E-06, 17.327106, -1.3205309> Rotation:<0.07975577, -6.5648635E-08, 8.239942E-07> Size:<0.18320298, 0.9160149, 0> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_B_HairB_01 BoneIndex:77 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-2.4375E-06, 18.261925, -1.5536144> Rotation:<0.04975396, -3.5785764E-08, 7.1955145E-07> Size:<0.25, 0.8707503, 0> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_B_HairB_02 BoneIndex:78 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-3.0624997E-06, 17.39225, -1.53158> Rotation:<0.000877681, -6.3075395E-10, 7.1865986E-07> Size:<0.17393501, 0.86967504, 0> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_B_HairC_01 BoneIndex:79 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-0.29782313, 19.080597, -1.4447167> Rotation:<-0.6415561, 0.022394972, 0.037410863> Size:<0.15, 0.9432884, 0> Group:4 Mask:65519 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_B_HairC_02 BoneIndex:80 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-0.1191431, 18.327997, -1.8020959> Rotation:<-0.15731983, -0.08045966, -0.47531208> Size:<0.15, 0.85404915, 0> Group:4 Mask:65519 Mode:PhysicsWithBoneAlignment
RigidBody: Ctr_L_HairB_02 BoneIndex:85 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<1.054921, 18.150244, -0.8736806> Rotation:<-0.05440017, 0.0074316124, 0.13584247> Size:<0.25, 0.8686718, 0> Group:3 Mask:65527 Mode:FollowBone
RigidBody: Ctr_L_HairB_03 BoneIndex:86 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<0.9376316, 17.290854, -0.9213512> Rotation:<-0.05440038, 0.007431855, 0.13584216> Size:<0.17373472, 0.8686736, 0> Group:3 Mask:65527 Mode:PhysicsWithBoneAlignment
RigidBody: B BoneIndex:158 Mass:3.75 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-5.1177665E-07, 17.493628, -1.4101413> Rotation:<-0.044123, 0, -8.205728E-07> Size:<0.25, 1.244621, 0> Group:3 Mask:0 Mode:Physics
RigidBody: B BoneIndex:157 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-9.791667E-07, 16.232689, -1.6546603> Rotation:<-0.04975399, 0, -7.17772E-07> Size:<0.25, 3.8135014, 0> Group:3 Mask:0 Mode:Physics
RigidBody: B BoneIndex:156 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-2.4375E-06, 17.39225, -1.5323434> Rotation:<-0.000877818, 0, -7.1865895E-07> Size:<0.17393501, 0.69574004, 0> Group:3 Mask:0 Mode:Physics
RigidBody: B BoneIndex:155 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-1.3286239, 16.144981, -0.9174142> Rotation:<0.054904785, 0, 0.13543378> Size:<0.25, 3.8038096, 0> Group:3 Mask:0 Mode:Physics
RigidBody: B BoneIndex:154 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-1.0549514, 17.290855, -1.0286444> Rotation:<0.054905523, 0, 0.1354353> Size:<0.25, 0.61866605, 0> Group:3 Mask:0 Mode:Physics
RigidBody: B BoneIndex:153 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-0.6309173, 17.010519, 0.013037622> Rotation:<0.5387699, 0, -0.5612732> Size:<0.2, 1.9937608, 0> Group:4 Mask:0 Mode:Physics
RigidBody: B BoneIndex:152 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-1.1476293, 17.440865, -0.5497502> Rotation:<0.4593246, 0, -0.784768> Size:<0.2, 0.34403664, 0> Group:4 Mask:0 Mode:Physics
RigidBody: B BoneIndex:151 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-1.1249999E-06, 17.327106, -1.3935108> Rotation:<-0.07975548, 0, -8.187623E-07> Size:<0.18320298, 0.73281384, 0> Group:3 Mask:0 Mode:Physics
RigidBody: B BoneIndex:150 Mass:1.5 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-0.24499656, 17.318464, -0.12694788> Rotation:<0.6418929, 0, -0.024003431> Size:<0.15, 4.252006, 0> Group:4 Mask:0 Mode:Physics
RigidBody: B BoneIndex:149 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<-0.4991431, 18.327997, -1.6520958> Rotation:<0.17654975, 0, 0.4611064> Size:<0.15, 0.7040492, 0> Group:4 Mask:0 Mode:Physics
RigidBody: B BoneIndex:147 Mass:1 Shape:Capsule LinearDamping:0.999 AngularDamping:0.99 Restitution:0 Friction:0 Position:<1.0549206, 17.290854, -0.87368035> Rotation:<0.054905314, 0, -0.13543437> Size:<0.17373472, 0.69493896, 0> Group:3 Mask:0 Mode:Physics
RigidBody: Skirt_0_0 BoneIndex:159 Mass:15 Shape:Box LinearDamping:0.9999 AngularDamping:1 Restitution:0 Friction:0 Position:<4.7699523E-08, 12.973568, 1.2001652> Rotation:<-0.052360084, 3.1415925, 0> Size:<0.42438093, 0.3864171, 0.1> Group:5 Mask:65503 Mode:PhysicsWithBoneAlignment
RigidBody: Skirt_0_1 BoneIndex:160 Mass:15 Shape:Box LinearDamping:0.9999 AngularDamping:1 Restitution:0 Friction:0 Position:<0.6013602, 12.974232, 1.0866935> Rotation:<-0.08512166, 2.7494776, -0.0040002973> Size:<0.40962175, 0.38681972, 0.1> Group:5 Mask:65503 Mode:PhysicsWithBoneAlignment
RigidBody: Skirt_0_2 BoneIndex:161 Mass:15 Shape:Box LinearDamping:0.9999 AngularDamping:1 Restitution:0 Friction:0 Position:<1.0649558, 12.975315, 0.77227366> Rotation:<-0.17347161, 2.2892597, -0.00834312> Size:<0.3760471, 0.38740534, 0.1> Group:5 Mask:65503 Mode:PhysicsWithBoneAlignment
RigidBody: Skirt_0_3 BoneIndex:162 Mass:15 Shape:Box LinearDamping:0.9999 AngularDamping:1 Restitution:0 Friction:0 Position:<1.2845829, 12.9749565, 0.3289345> Rotation:<-0.2659222, 1.7279298, -0.011883727> Size:<0.3491759, 0.38685268, 0.1> Group:5 Mask:65503 Mode:PhysicsWithBoneAlignment
RigidBody: Skirt_0_4 BoneIndex:163 Mass:15 Shape:Box LinearDamping:0.9999 AngularDamping:1 Restitution:0 Friction:0 Position:<1.2099276, 12.972202, -0.115967676> Rotation:<-0.30736914, 1.0746841, -0.011482946> Size:<0.35574535, 0.3867825, 0.1> Group:5 Mask:65503 Mode:PhysicsWithBoneAlignment
